timestamp, actor_id, actor_type, event_type, cell_x, cell_y
1659305329, 82, player, destroyed, 13, 6
1659305329, 83, player, created, 13, 6
1659305330, 83, player, destroyed, 19, 12
1659305330, 84, player, created, 19, 12
1659305331, 84, player, destroyed, 2, 12
1659305331, 85, player, created, 2, 12
1659305333, 85, player, destroyed, 16, 6
1659305333, 86, player, created, 16, 6
1659305334, 86, player, destroyed, 22, 12
1659305334, 87, player, created, 22, 12
1659305334, 87, player, destroyed, 22, 13
1659305334, 88, player, created, 22, 13
1659305335, 88, player, destroyed, 2, 3
1659305335, 89, player, created, 2, 3
1659305336, 89, player, destroyed, 10, 13
1659305336, 90, player, created, 10, 13
1659305336, 90, player, destroyed, 10, 12
1659305336, 91, player, created, 10, 12
1659305337, 91, player, destroyed, 27, 8
1659305337, 92, player, created, 27, 8
1659305341, 92, player, destroyed, 7, 12
1659305341, 93, player, created, 7, 12
1659305341, 93, player, destroyed, 7, 7
1659305341, 94, player, created, 7, 7
1659305342, 94, player, destroyed, 19, 13
1659305342, 95, player, created, 19, 13
1659305342, 95, player, destroyed, 7, 7
1659305342, 96, player, created, 7, 7
1659305343, 96, player, destroyed, 16, 3
1659305343, 97, player, created, 16, 3
1659305345, 97, player, destroyed, 2, 9
1659305345, 98, player, created, 2, 9
1659305346, 98, player, destroyed, 22, 11
1659305346, 99, player, created, 22, 11
1659305349, 99, player, destroyed, 27, 3
1659305349, 100, player, created, 27, 3
1659305350, 100, player, destroyed, 27, 7
1659305350, 101, player, created, 27, 7
1659305351, 101, player, destroyed, 7, 7
1659305351, 102, player, created, 7, 7
1659305351, 102, player, destroyed, 15, 12
1659305351, 103, player, created, 15, 12
1659305352, 103, player, destroyed, 27, 2
1659305352, 104, player, created, 27, 2
1659305356, 104, player, destroyed, 2, 4
1659305356, 105, player, created, 2, 4
1659305356, 105, player, destroyed, 22, 3
1659305356, 106, player, created, 22, 3
1659305357, 106, player, destroyed, 2, 4
1659305357, 107, player, created, 2, 4
1659305358, 107, player, destroyed, 9, 6
1659305358, 108, player, created, 9, 6
1659305363, 108, player, destroyed, 2, 7
1659305363, 109, player, created, 2, 7
1659305363, 109, player, destroyed, 2, 3
1659305363, 110, player, created, 2, 3
1659305364, 110, player, destroyed, 13, 3
1659305364, 111, player, created, 13, 3
1659305364, 111, player, destroyed, 7, 6
1659305364, 112, player, created, 7, 6
1659305365, 112, player, destroyed, 7, 9
1659305365, 113, player, created, 7, 9
1659305365, 113, player, destroyed, 10, 13
1659305365, 114, player, created, 10, 13
1659305368, 114, player, destroyed, 2, 13
1659305368, 115, player, created, 2, 13
1659305370, 115, player, destroyed, 13, 5
1659305370, 116, player, created, 13, 5
1659305371, 116, player, destroyed, 2, 3
1659305371, 117, player, created, 2, 3
1659305372, 117, player, destroyed, 19, 7
1659305372, 118, player, created, 19, 7
1659305372, 118, player, destroyed, 19, 8
1659305372, 119, player, created, 19, 8
1659305372, 119, player, destroyed, 16, 10
1659305372, 120, player, created, 16, 10
1659305372, 120, player, destroyed, 19, 12
1659305372, 121, player, created, 19, 12
1659305372, 121, player, destroyed, 22, 12
1659305372, 122, player, created, 22, 12
1659305373, 122, player, destroyed, 2, 2
1659305373, 123, player, created, 2, 2
1659305374, 123, player, destroyed, 10, 6
1659305374, 124, player, created, 10, 6
1659305374, 124, player, destroyed, 7, 6
1659305374, 125, player, created, 7, 6
1659305375, 125, player, destroyed, 8, 6
1659305375, 126, player, created, 8, 6
1659305379, 126, player, destroyed, 7, 2
1659305379, 127, player, created, 7, 2
1659305381, 127, player, destroyed, 19, 12
1659305381, 128, player, created, 19, 12
1659305389, 128, player, destroyed, 2, 3
1659305389, 129, player, created, 2, 3
1659305390, 129, player, destroyed, 16, 12
1659305390, 130, player, created, 16, 12
1659305390, 130, player, destroyed, 19, 12
1659305390, 131, player, created, 19, 12
1659305391, 131, player, destroyed, 7, 3
1659305391, 132, player, created, 7, 3
1659305392, 132, player, destroyed, 15, 12
1659305392, 133, player, created, 15, 12
1659305393, 133, player, destroyed, 27, 4
1659305393, 134, player, created, 27, 4
1659305394, 134, player, destroyed, 19, 6
1659305394, 135, player, created, 19, 6
1659305396, 135, player, destroyed, 16, 3
1659305396, 136, player, created, 16, 3
1659305397, 136, player, destroyed, 10, 13
1659305397, 137, player, created, 10, 13
1659305397, 137, player, destroyed, 19, 7
1659305397, 138, player, created, 19, 7
1659305398, 138, player, destroyed, 27, 9
1659305398, 139, player, created, 27, 9
1659305400, 139, player, destroyed, 7, 10
1659305400, 140, player, created, 7, 10
1659305400, 140, player, destroyed, 2, 8
1659305400, 141, player, created, 2, 8
1659305400, 141, player, destroyed, 10, 12
1659305400, 142, player, created, 10, 12
1659305401, 142, player, destroyed, 17, 6
1659305401, 143, player, created, 17, 6
1659305401, 143, player, destroyed, 27, 7
1659305401, 144, player, created, 27, 7
1659305405, 144, player, destroyed, 10, 13
1659305405, 145, player, created, 10, 13
1659305407, 145, player, destroyed, 19, 12
1659305407, 146, player, created, 19, 12
1659305408, 146, player, destroyed, 27, 6
1659305408, 147, player, created, 27, 6
1659305409, 147, player, destroyed, 7, 2
1659305409, 148, player, created, 7, 2
1659305409, 148, player, destroyed, 13, 10
1659305409, 149, player, created, 13, 10
1659305410, 149, player, destroyed, 7, 6
1659305410, 150, player, created, 7, 6
1659305412, 150, player, destroyed, 27, 6
1659305412, 151, player, created, 27, 6
1659305413, 151, player, destroyed, 16, 12
1659305413, 152, player, created, 16, 12
1659305413, 152, player, destroyed, 10, 7
1659305413, 153, player, created, 10, 7
1659305414, 153, player, destroyed, 22, 3
1659305414, 154, player, created, 22, 3
1659305414, 154, player, destroyed, 14, 12
1659305414, 155, player, created, 14, 12
1659305415, 155, player, destroyed, 22, 12
1659305415, 156, player, created, 22, 12
1659305415, 156, player, destroyed, 2, 9
1659305415, 157, player, created, 2, 9
1659305416, 157, player, destroyed, 19, 12
1659305416, 158, player, created, 19, 12
1659305417, 158, player, destroyed, 13, 3
1659305417, 159, player, created, 13, 3
1659305422, 159, player, destroyed, 27, 7
1659305422, 160, player, created, 27, 7
1659305424, 160, player, destroyed, 19, 12
1659305424, 161, player, created, 19, 12
1659305424, 161, player, destroyed, 22, 3
1659305424, 162, player, created, 22, 3
1659305424, 162, player, destroyed, 27, 2
1659305424, 163, player, created, 27, 2
1659305424, 163, player, destroyed, 27, 10
1659305424, 164, player, created, 27, 10
1659305425, 164, player, destroyed, 2, 12
1659305425, 165, player, created, 2, 12
1659305429, 165, player, destroyed, 11, 12
1659305429, 166, player, created, 11, 12
1659305431, 166, player, destroyed, 19, 12
1659305431, 167, player, created, 19, 12
1659305432, 167, player, destroyed, 2, 7
1659305432, 168, player, created, 2, 7
1659305432, 168, player, destroyed, 13, 3
1659305432, 169, player, created, 13, 3
1659305433, 169, player, destroyed, 22, 2
1659305433, 170, player, created, 22, 2
1659305433, 170, player, destroyed, 16, 6
1659305433, 171, player, created, 16, 6
1659305433, 171, player, destroyed, 16, 5
1659305433, 172, player, created, 16, 5
1659305435, 172, player, destroyed, 19, 9
1659305435, 173, player, created, 19, 9
1659305435, 173, player, destroyed, 18, 6
1659305435, 174, player, created, 18, 6
1659305436, 174, player, destroyed, 27, 11
1659305436, 175, player, created, 27, 11
1659305437, 175, player, destroyed, 7, 3
1659305437, 176, player, created, 7, 3
1659305438, 176, player, destroyed, 13, 4
1659305438, 177, player, created, 13, 4
1659305439, 177, player, destroyed, 27, 6
1659305439, 178, player, created, 27, 6
1659305440, 178, player, destroyed, 7, 8
1659305440, 179, player, created, 7, 8
1659305440, 179, player, destroyed, 7, 5
1659305440, 180, player, created, 7, 5
1659305441, 180, player, destroyed, 27, 3
1659305441, 181, player, created, 27, 3
1659305442, 181, player, destroyed, 13, 5
1659305442, 182, player, created, 13, 5
1659305442, 182, player, destroyed, 22, 8
1659305442, 183, player, created, 22, 8
1659305442, 183, player, destroyed, 22, 7
1659305442, 184, player, created, 22, 7
1659305446, 184, player, destroyed, 22, 2
1659305446, 185, player, created, 22, 2
1659305446, 185, player, destroyed, 10, 12
1659305446, 186, player, created, 10, 12
1659305447, 186, player, destroyed, 22, 4
1659305447, 187, player, created, 22, 4
1659305447, 187, player, destroyed, 10, 13
1659305447, 188, player, created, 10, 13
1659305447, 188, player, destroyed, 10, 13
1659305447, 189, player, created, 10, 13
1659305449, 189, player, destroyed, 16, 5
1659305449, 190, player, created, 16, 5
1659305453, 190, player, destroyed, 2, 3
1659305453, 191, player, created, 2, 3
1659305453, 191, player, destroyed, 27, 3
1659305453, 192, player, created, 27, 3
1659305454, 192, player, destroyed, 17, 2
1659305454, 193, player, created, 17, 2
1659305461, 193, player, destroyed, 13, 5
1659305461, 194, player, created, 13, 5
1659305462, 194, player, destroyed, 13, 3
1659305462, 195, player, created, 13, 3
1659305462, 195, player, destroyed, 22, 9
1659305462, 196, player, created, 22, 9
1659305463, 196, player, destroyed, 27, 6
1659305463, 197, player, created, 27, 6
1659305463, 197, player, destroyed, 13, 4
1659305463, 198, player, created, 13, 4
1659305464, 198, player, destroyed, 27, 6
1659305464, 199, player, created, 27, 6
1659305465, 199, player, destroyed, 19, 7
1659305465, 200, player, created, 19, 7
1659305465, 200, player, destroyed, 13, 5
1659305465, 201, player, created, 13, 5
1659305466, 201, player, destroyed, 21, 2
1659305466, 202, player, created, 21, 2
1659305466, 202, player, destroyed, 7, 5
1659305466, 203, player, created, 7, 5
1659305467, 203, player, destroyed, 22, 11
1659305467, 204, player, created, 22, 11
1659305467, 204, player, destroyed, 22, 5
1659305467, 205, player, created, 22, 5
1659305470, 205, player, destroyed, 16, 3
1659305470, 206, player, created, 16, 3
1659305471, 206, player, destroyed, 2, 9
1659305471, 207, player, created, 2, 9
1659305472, 207, player, destroyed, 26, 2
1659305472, 208, player, created, 26, 2
1659305472, 208, player, destroyed, 25, 2
1659305472, 209, player, created, 25, 2
1659305472, 209, player, destroyed, 8, 6
1659305472, 210, player, created, 8, 6
1659305473, 210, player, destroyed, 2, 9
1659305473, 211, player, created, 2, 9
1659305475, 211, player, destroyed, 13, 5
1659305475, 212, player, created, 13, 5
1659305479, 212, player, destroyed, 2, 11
1659305479, 213, player, created, 2, 11
1659305480, 213, player, destroyed, 13, 10
1659305480, 214, player, created, 13, 10
1659305481, 214, player, destroyed, 27, 6
1659305481, 215, player, created, 27, 6
1659305481, 215, player, destroyed, 16, 10
1659305481, 216, player, created, 16, 10
1659305482, 216, player, destroyed, 13, 10
1659305482, 217, player, created, 13, 10
1659305483, 217, player, destroyed, 22, 12
1659305483, 218, player, created, 22, 12
1659305483, 218, player, destroyed, 2, 8
1659305483, 219, player, created, 2, 8
1659305484, 219, player, destroyed, 19, 13
1659305484, 220, player, created, 19, 13
1659305485, 220, player, destroyed, 7, 7
1659305485, 221, player, created, 7, 7
1659305487, 221, player, destroyed, 10, 8
1659305487, 222, player, created, 10, 8
1659305488, 222, player, destroyed, 2, 3
1659305488, 223, player, created, 2, 3
1659305489, 223, player, destroyed, 22, 12
1659305489, 224, player, created, 22, 12
1659305489, 224, player, destroyed, 22, 13
1659305489, 225, player, created, 22, 13
1659305492, 225, player, destroyed, 16, 6
1659305492, 226, player, created, 16, 6
1659305495, 226, player, destroyed, 2, 11
1659305495, 227, player, created, 2, 11
1659305496, 227, player, destroyed, 16, 11
1659305496, 228, player, created, 16, 11
1659305496, 228, player, destroyed, 12, 6
1659305496, 229, player, created, 12, 6
1659305496, 229, player, destroyed, 7, 8
