timestamp, actor_id, actor_type, event_type, cell_x, cell_y, genes
1663162763, 12, player, created, 27, 10, { [ ( -0.57312193753259) ( -0.43799220079415) ( -0.59654958052816) ( -0.1853267617387) ( 0.24425028022941) ( 0.74996502951963)] [ ( -0.86255166644021 -0.4736028127918 0.20212409646602 0.098958064241115 0.90792755138897 0.71066040520785) ( -0.52586565213163 0.12363813851453 -0.11335145294845 -0.091401601407345 0.63255650858442 -0.40575161865508) ( 0.54436588081866 -0.43110013483185 0.30316006844243 -0.070530567013378 -0.71225532555247 -0.11617235943419)] [ ( -0.024160248622671 0.23984166802434 0.12126221399577)]}
1663162763, 12, player, destroyed, 22, 8, { [ ( -0.57312193753259) ( -0.43799220079415) ( -0.59654958052816) ( -0.1853267617387) ( 0.24425028022941) ( 0.74996502951963)] [ ( -0.86255166644021 -0.4736028127918 0.20212409646602 0.098958064241115 0.90792755138897 0.71066040520785) ( -0.52586565213163 0.12363813851453 -0.11335145294845 -0.091401601407345 0.63255650858442 -0.40575161865508) ( 0.54436588081866 -0.43110013483185 0.30316006844243 -0.070530567013378 -0.71225532555247 -0.11617235943419)] [ ( -0.024160248622671 0.23984166802434 0.12126221399577)]}
1663162763, 13, player, created, 22, 8, { [ ( -0.52847846350551) ( 0.49501984742705) ( -0.4238648037172) ( 0.63883277154825) ( 0.70972116930988) ( -0.16219332279133)] [ ( -0.62192447180079 -0.99592010133957 0.18087001996182 -0.016192272026095 -0.84661050449624 -0.69485269617448) ( -0.057548494550238 -0.37871178642041 0.81112144076568 0.90712376717685 -0.82293590412887 -0.54997733324325) ( -0.11023575535958 -0.01690777302828 0.13541254792193 0.68750989162805 -0.64176364095811 -0.35963115379146)] [ ( -0.57577937062043 0.67063135708291 -0.20684168846049)]}
1663162764, 6, ghost, destroyed, 13, 5, 
1663162764, 14, ghost, created, 13, 5, 
1663162766, 15, pill, created, 13, 2, 
1663162768, 13, player, destroyed, 13, 4, { [ ( -0.52847846350551) ( 0.49501984742705) ( -0.4238648037172) ( 0.63883277154825) ( 0.70972116930988) ( -0.16219332279133)] [ ( -0.62192447180079 -0.99592010133957 0.18087001996182 -0.016192272026095 -0.84661050449624 -0.69485269617448) ( -0.057548494550238 -0.37871178642041 0.81112144076568 0.90712376717685 -0.82293590412887 -0.54997733324325) ( -0.11023575535958 -0.01690777302828 0.13541254792193 0.68750989162805 -0.64176364095811 -0.35963115379146)] [ ( -0.57577937062043 0.67063135708291 -0.20684168846049)]}
1663162768, 16, player, created, 13, 4, { [ ( 0.18851763285113) ( -0.24980271605176) ( 0.87445402053726) ( 0.31435366556148) ( -0.016849820916437) ( -0.50677164176687)] [ ( -0.90895880302986 0.22289955627034 -0.92349407573848 0.50816016358293 0.46477995265001 -0.15425267089177) ( 0.10393948276557 -0.88054689722528 0.094197420095372 -0.88745713269178 0.82536236767096 0.54385853008465) ( -0.83071417353019 0.82910132672191 -0.89009026994734 -0.84023658844308 -0.5213786134127 0.28990401218233)] [ ( 0.37459783533854 0.98561667975226 -0.57176665284024)]}
1663162772, 16, player, destroyed, 2, 6, { [ ( 0.18851763285113) ( -0.24980271605176) ( 0.87445402053726) ( 0.31435366556148) ( -0.016849820916437) ( -0.50677164176687)] [ ( -0.90895880302986 0.22289955627034 -0.92349407573848 0.50816016358293 0.46477995265001 -0.15425267089177) ( 0.10393948276557 -0.88054689722528 0.094197420095372 -0.88745713269178 0.82536236767096 0.54385853008465) ( -0.83071417353019 0.82910132672191 -0.89009026994734 -0.84023658844308 -0.5213786134127 0.28990401218233)] [ ( 0.37459783533854 0.98561667975226 -0.57176665284024)]}
1663162772, 17, player, created, 2, 6, { [ ( -0.37002494613931) ( -0.97018590934529) ( -0.60435091048383) ( -0.80559328575648) ( -0.76610576123103) ( -0.27099610181823)] [ ( 0.56056978331459 0.61928182391959 -0.04437033536269 -0.46886321002503 0.79105425051628 0.020594319215033) ( 0.47572228463929 -0.59205075488396 -0.36377035211745 0.37747702970322 0.029727205513608 -0.92989433575531) ( 0.47627816852994 0.79938444947977 -0.60880496374435 -0.59949314097163 0.61144241083747 -0.5368449955566)] [ ( 0.28646458160328 0.18851327715241 0.46003756706013)]}
1663162772, 17, player, destroyed, 7, 3, { [ ( -0.37002494613931) ( -0.97018590934529) ( -0.60435091048383) ( -0.80559328575648) ( -0.76610576123103) ( -0.27099610181823)] [ ( 0.56056978331459 0.61928182391959 -0.04437033536269 -0.46886321002503 0.79105425051628 0.020594319215033) ( 0.47572228463929 -0.59205075488396 -0.36377035211745 0.37747702970322 0.029727205513608 -0.92989433575531) ( 0.47627816852994 0.79938444947977 -0.60880496374435 -0.59949314097163 0.61144241083747 -0.5368449955566)] [ ( 0.28646458160328 0.18851327715241 0.46003756706013)]}
